id,timestamp_utc,local_time,user_screen_name,text,possibly_sensitive,retweet_count,like_count,reply_count,lang,to_username,to_userid,to_tweetid,source_name,source_url,user_location,lat,lng,user_id,user_name,user_verified,user_description,user_url,user_image,user_tweets,user_followers,user_friends,user_likes,user_lists,user_created_at,user_timestamp_utc,collected_via,match_query,retweeted_id,retweeted_user,retweeted_user_id,retweeted_timestamp_utc,quoted_id,quoted_user,quoted_user_id,quoted_timestamp_utc,collection_time,url,place_country_code,place_name,place_type,place_coordinates,links,domains,media_urls,media_files,media_types,media_alt_texts,mentioned_names,mentioned_ids,hashtags
1652812324799905794,1682896140,2023-04-30T23:09:00,PerrySeinSohn,"RT @allesmittelgrau: Mit massiven Polizeischutz demonstriert der bekannte Neofaschist & Spendensammler Martin S gemeinsam mit dem Rassisten Irfan P, ehem V-Mann des deutschen Verfassungsschutzes. Beide verbreiten antisemitische Verschwörungsgeschichten & hetzen gegen Migrant*innen. 15:00 #w2904 https://twitter.com/allesmittelgrau/status/1652299561740955648/video/1",0,0,0,0,de,,,,,,"Berlin, Deutschland",,,1247617994408308737,ZurSeiteMitDir,0,"Fuck Nazis, Fuck Cops. Gegen jeden Antisemitismus

He/Him",,https://pbs.twimg.com/profile_images/1258228834270396417/oiw4QgUU_normal.jpg,6881,100,921,,1,2020-04-07T20:11:44,1586290304,,1,1652299561740955648,allesmittelgrau,1338580199705808902,1682773888,,,,,2023-05-02T10:32:44.208184,https://twitter.com/PerrySeinSohn/status/1652812324799905794,,,,,,,,,,,allesmittelgrau,1338580199705808902,
1652299561740955648,1682773888,2023-04-29T13:11:28,allesmittelgrau,"Mit massiven Polizeischutz demonstriert der bekannte Neofaschist & Spendensammler Martin S gemeinsam mit dem Rassisten Irfan P, ehem V-Mann des deutschen Verfassungsschutzes. Beide verbreiten antisemitische Verschwörungsgeschichten & hetzen gegen Migrant*innen. 15:00 #w2904 https://twitter.com/allesmittelgrau/status/1652299561740955648/video/1",0,202,1534,70,de,,,,,,"Wien, Österreich",,,1338580199705808902,Samuel Winter,0,freelance journalist | photo- & videography | focus on (extra-)parliamentary politics & group focused hostility | vienna,http://instagram.com/allesmittelgrau/,https://pbs.twimg.com/profile_images/1505495802516492290/o4JZh_A1_normal.jpg,2289,2769,1116,,15,2020-12-14T20:23:05,1607977385,retweet,1,,,,,,,,,2023-05-02T10:32:44.208128,https://twitter.com/allesmittelgrau/status/1652299561740955648,,,,,https://twitter.com/allesmittelgrau/status/1652299561740955648/video/1,,,,,,,,w2904
1652800819606040579,1682893397,2023-04-30T22:23:17,saschaosaka,"RT @MichaelBonvalot: Das sind die Reaktionen der Rechten auf meine Berichterstattung vom Aufmarsch der neofaschistischen Gruppe Identitäre in Wien: Laufende Provokationen und körperliche Angriffe gegen mein Presseschutz-Team und mich. 

#w2904 #Pressefreiheit « KollektivC: Auch heute wurde Journalist @MichaelBonvalot wieder von rechtsextremen Demonstranten, in diesem Fall sogar von Martin Sellner und Irfan P, bedrängt. Die Polizist*Innen in der Reihe davor waren sich einig: Nicht unser Problem. #w2904 https://twitter.com/KollektivC/status/1652437220832301060/video/1 — https://twitter.com/kollektivc/status/1652437220832301060 »",0,0,0,0,de,,,,,,"Vienna, Austria",,,54832478,Sascha Osaka 🖤,0,"Dad of 3 ♀+ 1 ♂! Bildung ist das einzige Mittel gegen die Rechten, darum verhindern diese immer noch eine Bildungsreform! ENJOY YOUR LIFE don't waste your time",http://osaka.at,https://pbs.twimg.com/profile_images/1468695312567083012/DYbKyugk_normal.jpg,53817,548,799,,19,2009-07-08T07:46:59,1247039219,,1,1652438482730508290,MichaelBonvalot,3184312967,1682807009,,,,,2023-05-02T10:32:44.209065,https://twitter.com/saschaosaka/status/1652800819606040579,,,,,,,,,,,MichaelBonvalot,3184312967,
1652438482730508290,1682807009,2023-04-29T22:23:29,MichaelBonvalot,"Das sind die Reaktionen der Rechten auf meine Berichterstattung vom Aufmarsch der neofaschistischen Gruppe Identitäre in Wien: Laufende Provokationen und körperliche Angriffe gegen mein Presseschutz-Team und mich. 

#w2904 #Pressefreiheit « KollektivC: Auch heute wurde Journalist @MichaelBonvalot wieder von rechtsextremen Demonstranten, in diesem Fall sogar von Martin Sellner und Irfan P, bedrängt. Die Polizist*Innen in der Reihe davor waren sich einig: Nicht unser Problem. #w2904 https://twitter.com/KollektivC/status/1652437220832301060/video/1 — https://twitter.com/kollektivc/status/1652437220832301060 »",0,30,142,8,de,,,,,,Wien und die Welt,,,3184312967,Michael Bonvalot,0,Journalist mit Meinung und Haltung // Autor // Sozialarbeiter // Herausgeber https://t.co/gTAozLhp23 // Unterstützen: https://t.co/5AeZGyJeVy,http://www.bonvalot.net,https://pbs.twimg.com/profile_images/719640945176813569/3bEwNBmC_normal.jpg,29407,28383,496,,199,2015-04-19T19:26:14,1429471574,retweet,1,,,,,1652437220832301060,KollektivC,998991169957883910,1682806708,2023-05-02T10:32:44.209024,https://twitter.com/MichaelBonvalot/status/1652438482730508290,,,,,https://twitter.com/KollektivC/status/1652437220832301060,,,,,,,,Pressefreiheit|w2904
1652772274108260353,1682886591,2023-04-30T20:29:51,GottfriedHirz,"RT @allesmittelgrau: Mit massiven Polizeischutz demonstriert der bekannte Neofaschist & Spendensammler Martin S gemeinsam mit dem Rassisten Irfan P, ehem V-Mann des deutschen Verfassungsschutzes. Beide verbreiten antisemitische Verschwörungsgeschichten & hetzen gegen Migrant*innen. 15:00 #w2904 https://twitter.com/allesmittelgrau/status/1652299561740955648/video/1",0,0,0,0,de,,,,,,Regau,,,4794835828,Gottfried Hirz 🇦🇹🇺🇦,0,"Dipl.-Päd., Mitglied des Roten Kreuzes OÖ, Regau LAbg.a.D.,Klubobmann a.D., Stahlstadtkind",,https://pbs.twimg.com/profile_images/758607234175762432/3DhaGEJj_normal.jpg,2531,536,503,,8,2016-01-13T14:09:21,1452694161,,1,1652299561740955648,allesmittelgrau,1338580199705808902,1682773888,,,,,2023-05-02T10:32:44.209358,https://twitter.com/GottfriedHirz/status/1652772274108260353,,,,,,,,,,,allesmittelgrau,1338580199705808902,
1652771127624605704,1682886318,2023-04-30T20:25:18,AntifaBarmstedt,"RT @emanze: Wann reden wir drüber, dass Möchtegern-Influencerin Schöndorfer samt BDS im Schlepptau Antifa-Kundgebung crasht & Leute aus dieser Gruppe dann Antifas als Scheiß-Juden beschimpfen? Heute wurde eine Grenze überschritten. Das darf so nicht unkommentiert stehen bleiben #w2904",0,0,0,0,de,,,,,,"Barmstedt, Deutschland",,,1600601362001235990,KleinstadtAntifa FreeLina,0,"Antifa, Linksradikal, AnArcho, queer, enby",,https://pbs.twimg.com/profile_images/1602092838308691968/FNmKDwOy_normal.jpg,2067,93,149,,8,2022-12-07T21:21:25,1670448085,,1,1652451058650697731,emanze,85814997,1682810008,,,,,2023-05-02T10:32:44.209561,https://twitter.com/AntifaBarmstedt/status/1652771127624605704,,,,,,,,,,,emanze,85814997,
1652451058650697731,1682810008,2023-04-29T23:13:28,emanze,"Wann reden wir drüber, dass Möchtegern-Influencerin Schöndorfer samt BDS im Schlepptau Antifa-Kundgebung crasht & Leute aus dieser Gruppe dann Antifas als Scheiß-Juden beschimpfen? Heute wurde eine Grenze überschritten. Das darf so nicht unkommentiert stehen bleiben #w2904",0,62,389,7,de,,,,,,Vienna,,,85814997,emma goldbitch,0,"Und ab sofort @emanze@kolektiva.social

Vulgäranarchismus & schlechte Laune. Manchmal mit Mamiii-Content.",,https://pbs.twimg.com/profile_images/1475889481802735623/VgcU2XW8_normal.jpg,31346,4648,1227,,67,2009-10-28T13:17:15,1256735835,retweet,1,,,,,,,,,2023-05-02T10:32:44.209536,https://twitter.com/emanze/status/1652451058650697731,,,,,,,,,,,,,w2904
1652769731944890376,1682885985,2023-04-30T20:19:45,OnkelBil1,"RT @KollektivC: Auch heute wurde Journalist @MichaelBonvalot wieder von rechtsextremen Demonstranten, in diesem Fall sogar von Martin Sellner und Irfan P, bedrängt. Die Polizist*Innen in der Reihe davor waren sich einig: Nicht unser Problem. #w2904 https://twitter.com/KollektivC/status/1652437220832301060/video/1",0,0,0,0,de,,,,,,"Wien, Österreich",,,384135560,Onkel Bill,0,,,https://pbs.twimg.com/profile_images/668688283182850048/GediAoOQ_normal.jpg,6040,75,498,,1,2011-10-03T04:05:55,1317614755,,1,1652437220832301060,KollektivC,998991169957883910,1682806708,,,,,2023-05-02T10:32:44.209800,https://twitter.com/OnkelBil1/status/1652769731944890376,,,,,,,,,,,KollektivC|MichaelBonvalot,998991169957883910|3184312967,
1652437220832301060,1682806708,2023-04-29T22:18:28,KollektivC,"Auch heute wurde Journalist @MichaelBonvalot wieder von rechtsextremen Demonstranten, in diesem Fall sogar von Martin Sellner und Irfan P, bedrängt. Die Polizist*Innen in der Reihe davor waren sich einig: Nicht unser Problem. #w2904 https://twitter.com/KollektivC/status/1652437220832301060/video/1",0,30,94,16,de,,,,,,,,,998991169957883910,Kollektiv Communique,0,"Journalist*innen Kollektiv für journalistische Arbeit von unten.

📸 & 🎥 Urheberrechtlich geschützt.",,https://pbs.twimg.com/profile_images/1509638829451485186/KOSQ9iDG_normal.jpg,6468,14732,98,,87,2018-05-22T18:17:10,1527013030,retweet,1,,,,,,,,,2023-05-02T10:32:44.209774,https://twitter.com/KollektivC/status/1652437220832301060,,,,,https://twitter.com/KollektivC/status/1652437220832301060/video/1,,,,,,MichaelBonvalot,3184312967,w2904
1652767751260327937,1682885513,2023-04-30T20:11:53,herbstdepressio,"RT @MichaelBonvalot: Gezählte 17 Personen stehen verloren im strömenden Regen. Das ist der gesamte Aufmarsch der neofaschistischen Gruppe Identitäre in Wien-Favoriten. Was für ein Reinfall.

#w2904 https://twitter.com/MichaelBonvalot/status/1652297679672672258/video/1",0,0,0,0,de,,,,,,Wien,,,956437284,Shorty Short,0,Hier gibt es nichts zu lachen!,,https://pbs.twimg.com/profile_images/1650045711038181376/gRmfYOgs_normal.jpg,7261,173,32,,9,2012-11-19T00:06:28,1353283588,,1,1652297679672672258,MichaelBonvalot,3184312967,1682773439,,,,,2023-05-02T10:32:44.210056,https://twitter.com/herbstdepressio/status/1652767751260327937,,,,,,,,,,,MichaelBonvalot,3184312967,
